source_path,plan_label,beam_number,beam_name,control_point_index,gantry_angle_deg,axial_position_mm,cumulative_meterset_weight,dose_rate_mu_per_min,jaw_x1_mm,jaw_x2_mm,jaw_y1_mm,jaw_y2_mm,delta_gantry_deg,delta_axial_mm,delta_cumulative_meterset_weight,aperture_width_mm,projection_label,projection_pitch,projection_mu_density_proxy,projection_aperture_change,projection_leaf_travel,projection_leaf_travel_mlcx1,projection_leaf_travel_mlcx2
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,24,264.0,-69.138845444,0.059989518395,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002132553897999996,43.623400000000004,23→24,0.09259223950000006,0.005757917481842511,15.163527824597004,346.49016130558084,183.9346914165521,162.55546988902876
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,25,260.0,-69.509214401,0.062217368967,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0022278505720000064,48.245900000000006,24→25,0.09259223924999915,0.006015219499079203,12.480797627971949,382.90601120763284,184.5586642943205,198.34734691331235
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,26,256.0,-69.879583359,0.06431069534,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0020933263729999985,75.366,25→26,0.09259223950000006,0.0056520027604473186,73.22454923449598,371.6574972786998,162.93455133461794,208.72294594408189
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,27,252.0,-70.249952316,0.066242934086,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689570000108,0.0019322387460000007,68.7684,26→27,0.0925922392500027,0.005217064523039776,17.813587978432565,406.51355129635124,160.27747163485483,246.2360796614964
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,28,248.0,-70.620321274,0.068185106323,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.001942172236999995,96.54180000000001,27→28,0.09259223950000006,0.005243885036931183,74.98846596101608,308.01906459990073,85.53470617804848,222.48435842185228
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,29,244.0,-70.990690231,0.070102267361,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0019171610380000065,91.23819999999999,28→29,0.09259223924999915,0.0051763545560866864,14.319774645692203,361.4287792483678,144.5369515674622,216.89182768090558
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,30,240.0,-71.361059189,0.071963018018,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0018607506569999904,96.52,29→30,0.09259223950000006,0.00502404593259673,14.260914382570908,154.53886931852418,68.34536062819816,86.193508690326
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,31,236.0,-71.731428146,0.073780913649,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0018178956310000022,52.5293,30→31,0.09259223924999915,0.004908336934404626,118.77534325858849,409.8307839552584,187.40015513773375,222.43062881752465
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,32,232.0,-72.101797104,0.075678962559,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0018980489100000053,38.633799999999994,31→32,0.09259223950000006,0.005124751599727762,37.517993071114766,434.5194069963064,194.31029098286353,240.20911601344284
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,33,228.0,-72.472166061,0.077595163913,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0019162013540000022,41.4347,32→33,0.09259223924999915,0.005173763399398562,7.562458859099337,408.46511874374335,170.622561112757,237.84255763098636
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,34,224.0,-72.842535018921,0.079434731893,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689579210021,0.001839567979999998,43.416399999999996,33→34,0.09259223948025053,0.004966852487654673,5.350610405158965,499.6374454240042,225.2119088711297,274.4255365528745
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,35,220.0,-73.212903976,0.081309891209,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895707900896,0.0018751593159999913,37.10979999999999,34→35,0.09259223926975224,0.00506294947284141,17.027884976479406,325.6406826079419,161.3315556229335,164.3091269850084
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,36,216.0,-73.58327293396,0.083166017648,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689579599967,0.0018561264390000026,34.1214,35→36,0.09259223948999917,0.005011560496926099,8.068710770093121,337.33928644607056,155.5230230882941,181.81626335777648
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,37,212.0,-73.953641891,0.085256392579,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895704000017,0.0020903749310000053,33.266799999999996,36→37,0.09259223926000004,0.005644033851288036,2.3074288051298733,391.6211044230014,185.00767598781144,206.61342843518992
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,38,208.0,-74.324010849,0.08753343922,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002277046640999994,33.3102,37→38,0.09259223950000006,0.006148049375671469,0.11718044685593064,205.31904296363828,102.98838273589864,102.33066022773964
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,39,204.0,-74.694379807,0.089853289985,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002319850765000006,36.9626,38→39,0.09259223950000006,0.006263620951192148,9.861517605911231,234.15677293343776,124.18184355504215,109.97492937839561
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,40,200.0,-75.064748764,0.092096108994,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.002242819009000002,31.242700000000003,39→40,0.09259223924999915,0.0060556344332066215,15.443788935043093,415.3485250115101,266.1842957858936,149.16422922561654
